stratum,comparison,candidate,baseline,mission_id,planner_id,metric,preferred_direction,candidate_value,baseline_value,delta_candidate_minus_baseline,relative_delta_percent,favorable
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,service_corrected_mission_time_s,lower,601.1079999996805,622.3867980061933,-21.27879800651283,-3.4189025337104093,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,service_corrected_modeled_energy_j,lower,709597.9482928197,734489.3537565918,-24891.405463772127,-3.3889402666578454,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,flight_time_s,lower,489.1399999996805,510.4187980061933,-21.278798006512773,-4.168889956567504,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,service_time_s,lower,111.968,111.96800000000002,-1.4210854715202004e-14,-1.2691889392685412e-14,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,flight_controller_sensitive_energy_j,lower,604433.5096512033,629324.9151149754,-24891.405463772127,-3.9552550464690497,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,service_energy_j,lower,105164.43864161639,105164.43864161639,0.0,0.0,0
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,position_rms_m,lower,0.15864834861809868,0.3111909404633478,-0.1525425918452491,-49.01896938841497,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,position_p95_m,lower,0.21189780522358173,0.4367719977881883,-0.22487419256460658,-51.48548755491849,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,position_max_m,lower,0.29355945677213674,0.6500608392418736,-0.3565013824697369,-54.84123345831795,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,vertical_p95_error_m,lower,0.033328915039485096,0.2670327715483438,-0.23370385650885872,-87.51879222679932,1
controller_comparison,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030_MINUS_C0_CASCADED_PID,M6_GP_ENHANCED_ENMPC_ROBUST_TRACKING_030,C0_CASCADED_PID,MU_CAMBRIDGE_MA_01,P_DIST_FIXED,attitude_p95_rad,lower,0.024717069192215918,0.030431910468438104,-0.005714841276222186,-18.779107812338065,1
